mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
657.9332246575682,4.56953364118726e-42,9.151996108712992e-42,1.9929971105049218e-41,3.473800216078089e-41,5.17538333280975e-41,4.219776174975438e-41
689.2612104349695,4.7880705069630746e-42,9.577982180294236e-42,2.087544880748416e-41,3.6381737175852344e-41,5.421429361228404e-41,4.420689756195245e-41
722.0809018385471,5.017337110723304e-42,1.0024691322717498e-41,2.1867242592497246e-41,3.810605216056931e-41,5.679503948343043e-41,4.631248364064571e-41
756.463327554629,5.2578096448599634e-42,1.0493093759910865e-41,2.2907422434840939e-41,3.991461125530236e-41,5.950144600003814e-41,4.851906429186598e-41
792.4828983539177,5.509979875468894e-42,1.0984200025443444e-41,2.399812863972719e-41,4.1811212368754785e-41,6.233907251191292e-41,5.083138798572724e-41
830.2175681319752,5.774355112622898e-42,1.1499062156801415e-41,2.5141572089499297e-41,4.379978893251052e-41,6.531366365308939e-41,5.325441572862251e-41
869.7490026177834,6.051458119839263e-42,1.2038774882939984e-41,2.6340034258918813e-41,4.588441136459572e-41,6.843114977569288e-41,5.579332972117412e-41
911.1627561154896,6.341826956930684e-42,1.260447680051052e-41,2.7595866975456565e-41,4.806928820693321e-41,7.169764676666473e-41,5.845354230764209e-41
954.5484566618347,6.64601475018005e-42,1.319735153376012e-41,2.891149189983906e-41,5.035876689953691e-41,7.511945518631553e-41,6.124070522235176e-41
1000.0,6.964589383528845e-42,1.3818628872666892e-41,3.0289399700955194e-41,5.275733415218748e-41,7.870305866486398e-41,6.416071913844916e-41
