mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
36.78379771828634,1.5434827178497313e-41,3.156866984611503e-41,6.928166797604324e-41,1.2029259978071707e-40,1.7846398539390657e-40,9.029081126038301e-41
38.53528593710529,1.5212061215861882e-41,3.1269728556619333e-41,6.870401549769652e-41,1.1913837726713046e-40,1.7665013220691459e-40,9.240563456181985e-41
40.370172585965534,1.5049885730803616e-41,3.1086537587483604e-41,6.838082020573395e-41,1.1843601400395502e-40,1.75523474417951e-40,9.485348359256658e-41
42.29242874389499,1.4943889253378165e-41,3.1009255209050194e-41,6.829117072878451e-41,1.1814960552211494e-40,1.7503011587892486e-40,9.762312446503966e-41
44.306214575838816,1.4890381794434875e-41,3.1029257583792285e-41,6.841676662918386e-41,1.182481128997555e-40,1.7512379466984002e-40,1.0070275693844542e-40
46.4158883361278,1.4886281813785038e-41,3.1138868517312163e-41,6.874133097399885e-41,1.1870435951213547e-40,1.7576435955064764e-40,1.0407919146120842e-40
48.62601580065353,1.4929020166832273e-41,3.1331125139582e-41,6.925009912683445e-41,1.1949416133887308e-40,1.7691645287131295e-40,1.077370313154721e-40
50.9413801481638,1.5016461863461037e-41,3.15996242138283e-41,6.992947921413307e-41,1.205957150963879e-40,1.7854855389994405e-40,1.1165821436761126e-40
53.3669923120631,1.5146997406459668e-41,3.1940324847155516e-41,7.077090235760768e-41,1.2199474896243288e-40,1.806395352314112e-40,1.1583514225218488e-40
55.90810182512222,1.5319539022998326e-41,3.235212457215374e-41,7.177207331206374e-41,1.2368611243150735e-40,1.8318061134358445e-40,1.2027698538944151e-40
58.570208180566674,1.55332760923136e-41,3.2834417793799443e-41,7.293175321067349e-41,1.2566652056282178e-40,1.861658042284683e-40,1.2499436432788627e-40
61.35907273413176,1.5787619456434231e-41,3.3386880295831394e-41,7.424928925977528e-41,1.2793382923146523e-40,1.895909096551276e-40,1.2999815518893049e-40
64.28073117284322,1.6082163275894288e-41,3.400942867145043e-41,7.572451772381318e-41,1.3048682775316513e-40,1.9345314102657806e-40,1.3529942940335834e-40
67.34150657750821,1.641664924622505e-41,3.4702181619803203e-41,7.735767034547364e-41,1.3332503947334218e-40,1.9775078657072465e-40,1.4090938492700522e-40
70.54802310718645,1.6790932352456115e-41,3.5465422375029725e-41,7.914928251806233e-41,1.3644852661205825e-40,2.0248287348207137e-40,1.4683926812832742e-40
73.90722033525779,1.7204947455568968e-41,3.6299561616552897e-41,8.110010172618529e-41,1.3985769614371302e-40,2.0764883354470823e-40,1.5310028555743648e-40
77.4263682681127,1.7658676106423004e-41,3.7205100281235333e-41,8.321099495016814e-41,1.43553103930219e-40,2.1324816560023817e-40,1.597035048366747e-40
81.11308307896871,1.8152113074202188e-41,3.818259176313601e-41,8.548285389657902e-41,1.4753525473867504e-40,2.1928009101325676e-40,1.6665974395904514e-40
84.97534359086447,1.86852321621994e-41,3.923260304769341e-41,8.791649707910918e-41,1.518043961755503e-40,2.257431990621356e-40,1.7397944834566944e-40
89.02150854450387,1.9257950967566175e-41,4.0355674386692364e-41,9.051256793657421e-41,1.5636030497413814e-40,2.326350799722114e-40,1.8167255509931189e-40
93.260334688322,1.9870094326703208e-41,4.155227718064187e-41,9.327142834366623e-41,1.6120206449318559e-40,2.3995194413490914e-40,1.8974834400094557e-40
97.70099572992257,2.0521356277063775e-41,4.282276979814633e-41,9.619304704994823e-41,1.6632783273374497e-40,2.476882269387456e-40,1.9821527493216863e-40
102.35310218990269,2.1211315580727108e-41,4.4167426776789395e-41,9.927707213215517e-41,1.7173497855210848e-40,2.558368121328636e-40,2.0708107492840917e-40
